country,year,item,r,n,survey,cc_rank
Colombia,1996,threestate_lb,-1,21,lb1996,455
Colombia,1996,threestate_lb,1,245,lb1996,455
Colombia,1996,threestate_lb,2,215,lb1996,455
Colombia,1996,threestate_lb,3,721,lb1996,455
Colombia,1997,army_wvs,-1,152,wvs_combo,455
Colombia,1997,army_wvs,1,336,wvs_combo,455
Colombia,1997,army_wvs,2,790,wvs_combo,455
Colombia,1997,army_wvs,3,1132,wvs_combo,455
Colombia,1997,army_wvs,4,619,wvs_combo,455
Colombia,1997,evdemoc_wvs,-1,121,wvs_combo,455
Colombia,1997,evdemoc_wvs,1,94,wvs_combo,455
Colombia,1997,evdemoc_wvs,2,384,wvs_combo,455
Colombia,1997,evdemoc_wvs,3,1416,wvs_combo,455
Colombia,1997,evdemoc_wvs,4,1014,wvs_combo,455
Colombia,1997,strong_wvs,-1,161,wvs_combo,455
Colombia,1997,strong_wvs,1,604,wvs_combo,455
Colombia,1997,strong_wvs,2,1302,wvs_combo,455
Colombia,1997,strong_wvs,3,725,wvs_combo,455
Colombia,1997,strong_wvs,4,237,wvs_combo,455
Colombia,1997,threestate_lb,-1,38.577705086907976,lb1997,455
Colombia,1997,threestate_lb,1,153.9908393826809,lb1997,455
Colombia,1997,threestate_lb,2,182.55913990971462,lb1997,455
Colombia,1997,threestate_lb,3,824.8723156206976,lb1997,455
Colombia,1998,army_wvs,-1,153,wvs_combo,455
Colombia,1998,army_wvs,1,146,wvs_combo,455
Colombia,1998,army_wvs,2,652,wvs_combo,455
Colombia,1998,army_wvs,3,1363,wvs_combo,455
Colombia,1998,army_wvs,4,682,wvs_combo,455
Colombia,1998,evdemoc_wvs,-1,114,wvs_combo,455
Colombia,1998,evdemoc_wvs,1,65,wvs_combo,455
Colombia,1998,evdemoc_wvs,2,302,wvs_combo,455
Colombia,1998,evdemoc_wvs,3,1484,wvs_combo,455
Colombia,1998,evdemoc_wvs,4,1031,wvs_combo,455
Colombia,1998,strong_wvs,-1,162,wvs_combo,455
Colombia,1998,strong_wvs,1,293,wvs_combo,455
Colombia,1998,strong_wvs,2,850,wvs_combo,455
Colombia,1998,strong_wvs,3,1284,wvs_combo,455
Colombia,1998,strong_wvs,4,407,wvs_combo,455
Colombia,1998,threestate_lb,-1,97,lb1998,455
Colombia,1998,threestate_lb,1,202,lb1998,455
Colombia,1998,threestate_lb,2,244,lb1998,455
Colombia,1998,threestate_lb,3,657,lb1998,455
Colombia,2000,threestate_lb,-1,87.63684997330398,lb2000,455
Colombia,2000,threestate_lb,1,280.73628212742574,lb2000,455
